"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","22.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1966-01","ISO_DATE"
"National Centers for Environmental Information","21.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1982-01","ISO_DATE"
"National Centers for Environmental Information","70.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1918-07","ISO_DATE"
"National Centers for Environmental Information","21.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1981-01","ISO_DATE"
"National Centers for Environmental Information","66.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1908-09","ISO_DATE"
"National Centers for Environmental Information","59.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1909-05","ISO_DATE"
"National Centers for Environmental Information","32.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1916-03","ISO_DATE"
"National Centers for Environmental Information","31.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2013-01","ISO_DATE"
"National Centers for Environmental Information","60.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1950-05","ISO_DATE"
"National Centers for Environmental Information","31.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1926-03","ISO_DATE"
"National Centers for Environmental Information","70.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1917-08","ISO_DATE"
"National Centers for Environmental Information","70.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1940-08","ISO_DATE"
"National Centers for Environmental Information","39.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1917-03","ISO_DATE"
"National Centers for Environmental Information","69.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1940-06","ISO_DATE"
"National Centers for Environmental Information","72.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1917-07","ISO_DATE"
"National Centers for Environmental Information","29.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1940-02","ISO_DATE"
"National Centers for Environmental Information","52.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1997-10","ISO_DATE"
"National Centers for Environmental Information","34.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1997-12","ISO_DATE"
"National Centers for Environmental Information","63.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1909-09","ISO_DATE"
"National Centers for Environmental Information","29.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1937-12","ISO_DATE"
"National Centers for Environmental Information","62.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1933-05","ISO_DATE"
"National Centers for Environmental Information","33.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1952-02","ISO_DATE"
"National Centers for Environmental Information","58.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1978-05","ISO_DATE"
"National Centers for Environmental Information","34.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1978-03","ISO_DATE"
"National Centers for Environmental Information","30.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1972-01","ISO_DATE"
"National Centers for Environmental Information","35.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1906-01","ISO_DATE"
"National Centers for Environmental Information","26.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2003-02","ISO_DATE"
"National Centers for Environmental Information","48.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1972-10","ISO_DATE"
"National Centers for Environmental Information","40.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2002-11","ISO_DATE"
"National Centers for Environmental Information","57.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1928-05","ISO_DATE"
"National Centers for Environmental Information","60.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2001-05","ISO_DATE"
"National Centers for Environmental Information","32.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1939-01","ISO_DATE"
"National Centers for Environmental Information","39.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1939-11","ISO_DATE"
"National Centers for Environmental Information","31.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1988-12","ISO_DATE"
"National Centers for Environmental Information","35.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1946-12","ISO_DATE"
"National Centers for Environmental Information","34.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1939-02","ISO_DATE"
"National Centers for Environmental Information","26.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1922-01","ISO_DATE"
"National Centers for Environmental Information","39.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1932-01","ISO_DATE"
"National Centers for Environmental Information","48.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1980-04","ISO_DATE"
"National Centers for Environmental Information","51.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1970-04","ISO_DATE"
"National Centers for Environmental Information","73.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2010-08","ISO_DATE"
"National Centers for Environmental Information","62.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2010-05","ISO_DATE"
"National Centers for Environmental Information","48.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2001-11","ISO_DATE"
"National Centers for Environmental Information","33.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1928-12","ISO_DATE"
"National Centers for Environmental Information","65.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1927-08","ISO_DATE"
"National Centers for Environmental Information","71.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2012-08","ISO_DATE"
"National Centers for Environmental Information","70.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1996-08","ISO_DATE"
"National Centers for Environmental Information","51.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2012-03","ISO_DATE"
"National Centers for Environmental Information","33.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1964-12","ISO_DATE"
"National Centers for Environmental Information","51.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2008-10","ISO_DATE"
"National Centers for Environmental Information","67.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1993-06","ISO_DATE"
"National Centers for Environmental Information","67.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1936-09","ISO_DATE"
"National Centers for Environmental Information","63.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1936-05","ISO_DATE"
"National Centers for Environmental Information","72.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1927-07","ISO_DATE"
"National Centers for Environmental Information","34.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1911-02","ISO_DATE"
"National Centers for Environmental Information","30.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1977-12","ISO_DATE"
"National Centers for Environmental Information","33.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1897-12","ISO_DATE"
"National Centers for Environmental Information","44.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1977-03","ISO_DATE"
"National Centers for Environmental Information","60.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1921-05","ISO_DATE"
"National Centers for Environmental Information","53.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1948-04","ISO_DATE"
"National Centers for Environmental Information","62.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1943-09","ISO_DATE"
"National Centers for Environmental Information","60.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1967-09","ISO_DATE"
"National Centers for Environmental Information","39.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1967-03","ISO_DATE"
"National Centers for Environmental Information","70.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2000-06","ISO_DATE"
"National Centers for Environmental Information","68.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2000-07","ISO_DATE"
"National Centers for Environmental Information","30.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1943-02","ISO_DATE"
"National Centers for Environmental Information","73.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1943-07","ISO_DATE"
"National Centers for Environmental Information","12.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1977-01","ISO_DATE"
"National Centers for Environmental Information","57.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1963-05","ISO_DATE"
"National Centers for Environmental Information","31.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1986-02","ISO_DATE"
"National Centers for Environmental Information","54.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1915-10","ISO_DATE"
"National Centers for Environmental Information","26.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1969-12","ISO_DATE"
"National Centers for Environmental Information","36.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1967-11","ISO_DATE"
"National Centers for Environmental Information","39.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1905-11","ISO_DATE"
"National Centers for Environmental Information","33.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2016-12","ISO_DATE"
"National Centers for Environmental Information","72.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1959-07","ISO_DATE"
"National Centers for Environmental Information","54.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1986-10","ISO_DATE"
"National Centers for Environmental Information","22.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1963-01","ISO_DATE"
"National Centers for Environmental Information","41.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1963-03","ISO_DATE"
"National Centers for Environmental Information","68.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1959-06","ISO_DATE"
"National Centers for Environmental Information","62.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2000-09","ISO_DATE"
"National Centers for Environmental Information","45.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1938-03","ISO_DATE"
"National Centers for Environmental Information","37.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2011-12","ISO_DATE"
"National Centers for Environmental Information","67.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1959-09","ISO_DATE"
"National Centers for Environmental Information","47.30000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1983-04","ISO_DATE"
"National Centers for Environmental Information","38.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1959-11","ISO_DATE"
"National Centers for Environmental Information","71.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2009-08","ISO_DATE"
"National Centers for Environmental Information","42.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1945-11","ISO_DATE"
"National Centers for Environmental Information","32.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2011-02","ISO_DATE"
"National Centers for Environmental Information","65.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1923-09","ISO_DATE"
"National Centers for Environmental Information","69.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1923-08","ISO_DATE"
"National Centers for Environmental Information","72.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2011-08","ISO_DATE"
"National Centers for Environmental Information","21.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1994-01","ISO_DATE"
"National Centers for Environmental Information","52.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1994-04","ISO_DATE"
"National Centers for Environmental Information","71.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1913-08","ISO_DATE"
"National Centers for Environmental Information","31.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1951-01","ISO_DATE"
"National Centers for Environmental Information","63.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2007-05","ISO_DATE"
"National Centers for Environmental Information","56.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1920-10","ISO_DATE"
"National Centers for Environmental Information","25.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1919-12","ISO_DATE"
"National Centers for Environmental Information","69.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1976-06","ISO_DATE"
"National Centers for Environmental Information","54.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1913-10","ISO_DATE"
"National Centers for Environmental Information","40.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1991-11","ISO_DATE"
"National Centers for Environmental Information","47.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2007-04","ISO_DATE"
"National Centers for Environmental Information","73.70000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2007-08","ISO_DATE"
"National Centers for Environmental Information","70.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1974-08","ISO_DATE"
"National Centers for Environmental Information","71.00000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1998-07","ISO_DATE"
"National Centers for Environmental Information","51.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2022-10","ISO_DATE"
"National Centers for Environmental Information","31.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1900-12","ISO_DATE"
"National Centers for Environmental Information","36.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1941-12","ISO_DATE"
"National Centers for Environmental Information","42.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1941-11","ISO_DATE"
"National Centers for Environmental Information","54.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1902-10","ISO_DATE"
"National Centers for Environmental Information","75.80000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1949-07","ISO_DATE"
"National Centers for Environmental Information","54.20000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","2014-10","ISO_DATE"
"National Centers for Environmental Information","50.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1966-10","ISO_DATE"
"National Centers for Environmental Information","39.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1982-12","ISO_DATE"
"National Centers for Environmental Information","64.40000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1982-06","ISO_DATE"
"National Centers for Environmental Information","18.90000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1989-12","ISO_DATE"
"National Centers for Environmental Information","55.50000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1966-05","ISO_DATE"
"National Centers for Environmental Information","72.60000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1973-07","ISO_DATE"
"National Centers for Environmental Information","41.10000000000","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Temperature MA Split By FIPS","1918-11","ISO_DATE"
